20231102_231543 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network optimism-goerli | tee ./reports/deployment-logs/strategies/deployQVSimple/optimism-goerli/20231102_231334/deploy-20231102_231334.log
20231102_231643 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network base-testnet | tee ./reports/deployment-logs/strategies/deployQVSimple/base-testnet/20231102_231334/deploy-20231102_231334.log
20231102_231747 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network celo-testnet | tee ./reports/deployment-logs/strategies/deployQVSimple/celo-testnet/20231102_231334/deploy-20231102_231334.log
20231102_231843 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployQVSimple/optimism-mainnet/20231102_231334/deploy-20231102_231334.log
20231102_231910 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network celo-mainnet | tee ./reports/deployment-logs/strategies/deployQVSimple/celo-mainnet/20231102_231334/deploy-20231102_231334.log
20231102_232007 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network arbitrum-mainnet | tee ./reports/deployment-logs/strategies/deployQVSimple/arbitrum-mainnet/20231102_231334/deploy-20231102_231334.log
20231102_232103 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network base | tee ./reports/deployment-logs/strategies/deployQVSimple/base/20231102_231334/deploy-20231102_231334.log
20231102_232200 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network polygon | tee ./reports/deployment-logs/strategies/deployQVSimple/polygon/20231102_231334/deploy-20231102_231334.log
20231102_232302 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network mainnet | tee ./reports/deployment-logs/strategies/deployQVSimple/mainnet/20231102_231334/deploy-20231102_231334.log
20231102_232357 - Deployment finished with 0 error(s)
20231102_232415 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network sepolia | tee ./reports/deployment-logs/strategies/deployQVSimple/sepolia/20231102_232415/deploy-20231102_232415.log
20231102_232427 - Executing: bun hardhat run scripts/strategies/deployQVSimple.ts --no-compile --network optimism-mainnet | tee ./reports/deployment-logs/strategies/deployQVSimple/optimism-mainnet/20231102_232427/deploy-20231102_232427.log
